NIS,Commune,Taux
11001,Aartselaar,"0,22"
11002,Anvers,"0,33"
11004,Boechout,"0,23"
11005,Boom,"0,25"
11008,Brasschaat,"0,34"
11009,Brecht,"0,27"
11013,Edegem,"0,31"
11016,Essen,"0,16"
11018,Hemiksem,"0,43"
11021,Hove,"0,64"
11022,Kalmthout,"0,23"
11023,Kapellen,"0,36"
11024,Kontich,"0,27"
11025,Lint,"0,33"
11029,Mortsel,"0,37"
11030,Niel,"0,25"
11035,Ranst,"0,28"
11037,Rumst,"0,28"
11038,Schelle,"0,25"
11039,Schilde,"0,08"
11040,Schoten,"0,28"
11044,Stabroek,"0,22"
11050,Wijnegem,"0,25"
11052,Wommelgem,"0,23"
11053,Wuustwezel,"0,40"
11054,Zandhoven,"0,25"
11055,Zoersel,"0,19"
11057,Malle,"0,17"
12002,Berlaar,"0,19"
12005,Bonheiden,"0,15"
12007,Bornem,"0,36"
12009,Duffel,"0,20"
12014,Heist-op-den-Berg,"0,24"
12021,Lierre,"0,32"
12025,Malines,"0,34"
12026,Nijlen,"0,24"
12029,Putte,"0,26"
12041,Puurs-Sint-Amands,"0,22"
12035,Sint-Katelijne-Waver,"0,32"
12040,Willebroek,"0,33"
13001,Arendonk,"0,24"
13002,Baerle-Duc,"0,18"
13003,Balen,"0,41"
13004,Beerse,"0,19"
13006,Dessel,"0,38"
13008,Geel,"0,42"
13010,Grobbendonk,"0,12"
13011,Herentals,"0,20"
13012,Herenthout,"0,18"
13013,Herselt,"0,19"
13014,Hoogstraten,"0,36"
13016,Hulshout,"0,45"
13017,Kasterlee,"0,18"
13019,Lille,"0,26"
13021,Meerhout,"0,27"
13023,Merksplas,"0,23"
13025,Mol,"0,34"
13029,Olen,"0,49"
13031,Oud-Turnhout,"0,16"
13035,Ravels,"0,24"
13036,Retie,"0,33"
13037,Rijkevorsel,"0,40"
13040,Turnhout,"0,29"
13044,Vorselaar,"0,44"
13046,Vosselaar,"0,20"
